Timestamp,Email (CHRIST ID) ,NAME,GENDER,Course,What do you prefer?,Which one do you like the most ?,Is your preferred food available ? ,Most Frequently Visited Cafe.,Why do you prefer this cafe ?,Number of Visits,How do you rate the food of the cafe you visited frequently ?,How much do you spend for food everyday ?
10-12-2023 17:45,aditya.singh@msds.christuniversity.in,Aditya Kumar Singh,Male,MSc DS,Veg,North Indian,Sometimes,Cafe Chopsticks,Quality,Less than 3,3,200
10-12-2023 17:53,tanuja.gupta@msds.christuniversity.in,Tanuja Gupta,Female,MSc DS,Both,North Indian,Yes,Cafe by the Valley,Quality,Less than 3,4,200
10-12-2023 17:54,siddharth.nautiyal@msds.christuniversity.in,Siddharth Nautiyal,Male,MSc DS,Both,North Indian,Yes,Cafe by the Valley,Quality,Less than 3,4,200
10-12-2023 18:13,anushya.francisca@msds.christuniversity.in,Anushya Francisca,Female,MSc DS,Both,South Indian,Yes,Concerto,All of the above,More than 7,4,350
10-12-2023 18:25,siddhartha.sinha@msds.christuniversity.in,Siddhartha Sinha,Male,MSc DS,Non- Veg,North Indian,Sometimes,Cafe Chopsticks,All of the above,Less than 3,4,100
10-12-2023 18:36,Ansel.paul@msds.christuniversity.in,Ansel Paul,Male,MSc DS,Both,South Indian,No,Cafe Chopsticks,Quantity,Less than 3,4,200
10-12-2023 18:58,nizamudeen.h@law.christuniversity.in,Nizamudeen hasan,Male,BA LLB,Both,South Indian,Yes,Steaming Mugs,All of the above,More than 7,4,200
10-12-2023 19:01,Mohammed.Rayan@msds.christuniversity.in,Mohammed Rayan,Male,MSc DS,Both,South Indian,No,Cafe Chopsticks,Quality,Less than 3,3,100
10-12-2023 19:12,leran.carvalho@msds.christuniversity.in,Leran Carvalho,Male,MSc DS,Both,South Indian,Sometimes,Concerto,All of the above,Less than 3,3,100
10-12-2023 19:13,gokul.manoj@msds.christuniversity.in,Gokul Manoj,Male,MSc DS,Non- Veg,South Indian,Sometimes,Cafe Chopsticks,Quality,Less than 3,3,200
10-12-2023 19:21,Jyosna.philip@msds.christuniversity.in,Jyosna Philip,Female,MSc DS,Both,South Indian,Sometimes,Cafe Chopsticks,Budget,Less than 3,3,100
10-12-2023 19:57,kingsuk.rakshit@msds.christuniversity.in,Kingsuk Rakshit,Male,MSc DS,Both,North Indian,Yes,Cafe Chopsticks,Budget,Less than 3,4,50
10-12-2023 20:00,vikas.k@msds.christuniversity.in,Vikas K,Male,MSc DS,Non- Veg,South Indian,Yes,Steaming Mugs,Quantity,Less than 3,4,350
10-12-2023 20:12,divyank.yadav@msea.christuniversity.in,Divyank Kumar Yadav,Male,MSc EA,Both,North Indian,Sometimes,Cafe by the Valley,Quality,Less than 3,4,350
10-12-2023 20:25,arshika.saraswat@msds.christuniversity.in,Arshika Saraswat,Female,MSc DS,Veg,North Indian,Sometimes,Cafe by the Valley,Quality,Less than 3,4,350
10-12-2023 20:37,ritu.shaw@science.christuniversity.in,Ritu Kumari Shaw,Female,MSc EA,Veg,North Indian,Sometimes,Cafe Chopsticks,All of the above,Less than 3,3,50
10-12-2023 20:40,manish.kumar@msds.christuniversity.in,Manish Kumar,Male,MSc DS,Non- Veg,North Indian,Sometimes,Cafe by the Valley,Quality,Less than 3,4,50
10-12-2023 20:56,simon.lakshan@law.chistuniversity.in,Simon lakshan A,Male,BBA LLB,Non- Veg,South Indian,No,Cafe Chopsticks,Budget,Less than 3,3,200
10-12-2023 21:14,shruti.mall@msds.christuniversity.in,Shruti Mall,Female,MSc DS,Both,North Indian,Yes,Cafe Chopsticks,Quantity,Less than 3,3,100
10-12-2023 21:19,shubham.kumar@msds.christuniversity.in,Shubham Kumar,Male,MSc DS,Non- Veg,North Indian,Yes,Cafe Chopsticks,Budget,Less than 3,3,200
10-12-2023 21:21,selina.lana@msds.christuniversity.in,Selina Lana,Female,MSc DS,Non- Veg,North Indian,No,Steaming Mugs,All of the above,Less than 3,4,200
10-12-2023 21:27,stuty.das@msds.christuniversity.in,Stuty Das,Female,MSc DS,Non- Veg,North Indian,Sometimes,Cafe Chopsticks,All of the above,Less than 3,4,200
10-12-2023 21:50,aadith.mathew@msds.christuniversity.in,Aadith Joseph Mathew,Male,MSc DS,Both,South Indian,Sometimes,Cafe Chopsticks,Budget,Less than 3,3,200
10-12-2023 22:48,vsravani0123@gmail.com,V.Sravani,Female,MSc DS,Both,South Indian,Sometimes,Cafe Chopsticks,Budget,Less than 3,2,100
10-12-2023 22:56,anand.kj@msds.christuniversity.in,Anand K J,Male,MSc DS,Both,South Indian,Yes,Cafe Chopsticks,All of the above,Less than 3,3,100
10-13-2023 0:30:51,jofin.siby@msds.christuniversity.in,Jofin James Siby,Male,MSc DS,Both,South Indian,Sometimes,Cafe Chopsticks,Quality,Less than 3,3,200
10-13-2023 0:40:42,adrija.saha@law.christuniversity.in,Adrija Saha,Female,BA LLB,Non- Veg,North Indian,Sometimes,Cafe Chopsticks,Quantity,More than 7,3,100
10-13-2023 1:05:59,naga.suganeswar@law.christuniversity.in,NAGA SUGANESWAR,Male,BBA LLB,Both,South Indian,Sometimes,Cafe Chopsticks,All of the above,Less than 3,2,100
10-13-2023 9:19:57,shivangi.sharma@msds.christuniversity.in,Shivangi Sharma,Female,MSc DS,Veg,North Indian,Sometimes,Cafe by the Valley,Quality,Less than 3,4,350
10-13-2023 9:20:28,gungun.agnihotri@msds.christuniversity.in,Gungun,Female,MSc DS,Veg,North Indian,Sometimes,Cafe by the Valley,Quality,Less than 3,4,200
10-13-2023 12:31:24,thamizhanbu.e@msds.christuniversity.in,Thamizhanbu E,Male,MSc DS,Non- Veg,South Indian,No,Cafe Chopsticks,Budget,Less than 3,3,200
10-13-2023 12:59:39,joice.mathew@msea.christuniversity.in,Joice Ann Mathew,Female,MSc EA,Both,South Indian,Sometimes,Cafe Chopsticks,Budget,Less than 3,3,100
10-13-2023 13:04:38,vinay.mathai@law.christuniversity.in,Vinay Varghese Mathai,Male,BBA LLB,Non- Veg,South Indian,Sometimes,Cafe Chopsticks,Quantity,Less than 3,3,100
10-13-2023 13:14:10,kaustav.mathur@bbabah.christuniversity.in,Kaustav Mathur,Male,BBA,Non- Veg,North Indian,Yes,Steaming Mugs,All of the above,Less than 3,3,200
10-13-2023 13:22:27,sneha.shruti@bba.christuniversity.in,Sneha Shruti,Female,BBA,Both,North Indian,Yes,Ganga Ram,Quality,Less than 3,4,100
10-13-2023 13:22:50,mahalakshmi.s@law.christuniversity.in,S.Mahalakshmi,Female,BBA LLB,Both,South Indian,Sometimes,Cafe Chopsticks,Quantity,Less than 3,3,100
10-13-2023 13:27:34,sandeepkumargsain@gmail.com,Sandeep Kumar G,Male,MSc DS,Veg,North Indian,Sometimes,Cafe Chopsticks,All of the above,Less than 3,4,100
10-13-2023 13:28:27,ardra.ks@msds.christuniversity.in,Ardra K S,Female,MSc DS,Non- Veg,South Indian,Yes,Cafe Chopsticks,Quality,Less than 3,4,50
10-13-2023 13:29:57,devika.vinod@msds.christuniversity.in,Devika S Vinod,Female,MSc DS,Both,South Indian,Sometimes,Cafe by the Valley,All of the above,Less than 3,4,200
10-13-2023 13:45:01,lingesh.m@msds.christuniversity.in,LINGESH M,Male,MSc DS,Non- Veg,South Indian,Sometimes,Cafe by the Valley,Quality,Less than 3,4,50
10-13-2023 13:50:20,saisurendar.p@msds.christuniversity.in,Sai Surendar P,Male,MSc DS,Both,South Indian,No,Cafe Chopsticks,All of the above,Less than 3,3,200
10-13-2023 16:50:39,angela.scaria@msds.christuniversity.in,Angela Scaria,Female,MSc DS,Non- Veg,South Indian,Yes,Cafe Chopsticks,Budget,Less than 3,4,100
10-13-2023 18:41:24,evana.td@msds.christuniversity.in,EVANA T D,Female,MSc DS,Non- Veg,South Indian,No,Cafe Chopsticks,Budget,Less than 3,2,100
10-13-2023 19:38:58,sudiksha.sharma@msea.christuniversity.in,sudiksha sharma,Female,MSc EA,Both,North Indian,Yes,Cafe by the Valley,Quality,Less than 3,4,100
10-15-2023 19:43:08,shashankkumar.n@law.christuniversity.in,Shashank Kumar,Male,BBA LLB,Veg,North Indian,No,Steaming Mugs,Quantity,Less than 3,3,350
10-15-2023 19:47:51,aaron.biju@law.christuniversity.in,Aaron,Male,BA LLB,Both,South Indian,Sometimes,Cafe Chopsticks,Quantity,Less than 3,1,200
10-15-2023 19:59:53,vismay.pillai@bbabah.christuniversity.in,Vismay a pillai,Male,BBA,Both,South Indian,Sometimes,Concerto,Quality,Less than 3,4,200
10-15-2023 20:00:38,kartik.bisht@bbabah.christuniversity.in,Kartik bisht,Male,BBA,Veg,North Indian,Sometimes,Concerto,Quality,Less than 3,4,200
10-15-2023 20:01:35,prashant.modi@law.christuniversity.in,Prashant Modi,Male,BBA LLB,Veg,North Indian,Yes,Cafe by the Valley,Quantity,Less than 3,3,200
10-15-2023 20:02:12,ishwankey.gupta@law.christuniversity.in,Ishwankey Gupta,Female,BBA LLB,Veg,North Indian,Sometimes,Cafe by the Valley,Quality,Less than 3,4,100
10-15-2023 20:04:44,souradeepta.mazumder@law.christuniversity.in,Souradeepta Mazumder,Female,BA LLB,Both,North Indian,Sometimes,Steaming Mugs,All of the above,Less than 3,4,100
10-15-2023 20:04:52,nikhil.pr@msds.christuniversity.in,Nikhil,Male,MSc DS,Non- Veg,South Indian,Sometimes,Cafe Chopsticks,Quality,Less than 3,3,100
10-15-2023 20:05:45,suraj.mishra@msds.christuniversity.in,Suraj Mishra,Male,MSc DS,Veg,South Indian,Yes,Cafe Chopsticks,Budget,Less than 3,5,100
10-15-2023 20:06:19,suparna.bhattacharjee@bba.christuniversity.in,sb,Female,BBA,Both,South Indian,Sometimes,Cafe Chopsticks,All of the above,Less than 3,4,350
10-15-2023 20:06:52,Mebin. Biju@mbachristuniversity.in,Mebin biju,Male,MBA,Both,North Indian,Sometimes,Cafe Chopsticks,Quantity,Less than 3,3,200
10-15-2023 20:08:31,joel.mathews@bscdsh.christuniversity.in,Joel Kuruvilla Mathews,Male,BSC DS,Both,South Indian,Yes,Cafe by the Valley,All of the above,Less than 3,4,100
10-15-2023 20:09:28,alen.shibu@bscdsh.christuniversity.in,Alen Jin Shibu,Male,BSC DS,Non- Veg,South Indian,Yes,Cafe Chopsticks,Quantity,Less than 3,2,50
10-15-2023 20:12:42,aditya.singh@msgfa.christuniversity.in,Aditya Singh,Male,MSc GFA,Both,North Indian,Sometimes,Steaming Mugs,Quantity,Less than 3,2,200
10-15-2023 20:13:54,pasula.adarsh@bbabah.christuniversity.in,Adarsh's reddy,Male,BBA,Non- Veg,South Indian,Yes,Concerto,All of the above,Less than 3,5,100
10-15-2023 20:15:00,aniruddh.krishna@bbabah.christuniversity.in,Aniruddh,Male,BBA,Non- Veg,South Indian,Sometimes,Ganga Ram,All of the above,Less than 3,4,200
10-15-2023 20:15:33,Pavanrama456@gmail.com,Pavan,Male,BBA,Non- Veg,South Indian,Sometimes,Cafe Chopsticks,Quantity,More than 7,5,350
10-15-2023 20:17:07,vinjarapu.kumar@bbabah.christuniversity.in,V Manoj,Male,BBA,Non- Veg,South Indian,Sometimes,Cafe by the Valley,All of the above,Less than 3,3,200
10-15-2023 20:17:25,aaryan.kolekar@bbabah.christuniversity.in,Aaryan Kolekar,Male,BBA,Veg,North Indian,Yes,Steaming Mugs,Quality,Less than 3,3,200
10-15-2023 20:17:53,atharva.joshi@bscdsh.christuniversity.in,Atharva joshi,Male,BSC DS,Non- Veg,North Indian,Sometimes,Cafe by the Valley,Quality,Less than 3,3,350
10-15-2023 20:18:59,arnav.mishra@law.christuniversity.in,Arnav Mishra,Male,BBA LLB,Both,North Indian,Yes,Cafe by the Valley,Quality,Less than 3,5,200
10-15-2023 20:20:38,ritikesh.shinde@law.christuniversity.in,Ritikesh shinde,Male,BBA LLB,Both,South Indian,No,Steaming Mugs,All of the above,Less than 3,4,200
10-15-2023 20:20:53,Varghese. Anto@law.christuniversity.in,Varghese,Male,BBA LLB,Non- Veg,South Indian,Sometimes,Cafe Chopsticks,Budget,Less than 3,3,200
10-15-2023 20:21:16,rishi.ranjan@law.christuniversity.in,Rishi,Male,BA LLB,Both,North Indian,Sometimes,Cafe by the Valley,Quality,Less than 3,4,350
10-15-2023 20:22:32,s.devkrishna@bscdsh.christuniversity.in,S Devkrishna,Male,BSC DS,Non- Veg,South Indian,No,Cafe by the Valley,Quality,Less than 3,4,350
10-15-2023 20:22:34,ann.joshy@law.christuniversity.in,ANN,Female,BBA LLB,Both,South Indian,Sometimes,Cafe Chopsticks,Budget,Less than 3,3,200
10-15-2023 20:24:25,urvi.saran@bsceah.christuniversity.in,Urvi Saran,Female,BSC EA,Both,South Indian,No,Cafe by the Valley,All of the above,Less than 3,3,350
10-15-2023 20:24:37,rhea.rhine@law.christuniversity.in,Rhea Eleanor Rhine,Female,BA LLB,Non- Veg,South Indian,Sometimes,Cafe by the Valley,Quantity,Less than 3,3,350
10-15-2023 20:26:34,pariska.nagvenkar@bbabah.christuniversity.in,Pariska Nagvenkar,Female,BBA,Both,South Indian,Sometimes,Steaming Mugs,Quality,Less than 3,3,200
10-15-2023 20:26:34,rahul.b@msea.christuniversity.in,Rahul B,Male,MSc EA,Both,South Indian,No,Cafe by the Valley,Quality,Less than 3,3,350
10-15-2023 20:28:06,vatsal.sharma@bbabah.christuniversity.in,Vatsal Sharma,Male,BBA,Veg,North Indian,Sometimes,Steaming Mugs,All of the above,Less than 3,3,200
10-15-2023 20:28:28,b.shivram@mba.christuniversity.in,Shivram,Male,MBA,Veg,South Indian,No,Ganga Ram,All of the above,Less than 3,3,200
10-15-2023 20:28:49,rachel.ann@bbabah.christuniversity.in,Rachel,Female,BBA,Both,North Indian,Yes,Steaming Mugs,All of the above,Less than 3,3,200
10-15-2023 20:28:57,shilpi.singh@bbabah.christuniversity.in,Shilpi Singh,Female,BBA,Both,North Indian,Sometimes,Steaming Mugs,All of the above,Less than 3,3,200
10-15-2023 20:31:18,Blablablabla,Yada yada,Male,BSC EA,Non- Veg,North Indian,No,Cafe by the Valley,Budget,Less than 3,1,350
10-15-2023 20:31:18,shankaresh.c@bbabah.christuniversity.in,Shankaresh,Male,BBA,Both,South Indian,Sometimes,Cafe by the Valley,All of the above,Less than 3,4,100
10-15-2023 20:31:18,siddhi.jhanwar@ecoa.christuniversity.in,Siddhi Jhanwar,Female,BA LLB,Both,North Indian,Sometimes,Cafe Chopsticks,Budget,Less than 3,3,100
10-15-2023 20:32:16,kushagra.bansal@bba.christuniversity.in,Kushagra Bansal,Male,BBA,Veg,North Indian,Sometimes,Ganga Ram,All of the above,Less than 3,3,200
10-15-2023 20:32:16,yashi.s@msds.christuniversity.in,yashi,Female,MSc DS,Both,South Indian,Sometimes,Cafe Chopsticks,All of the above,More than 7,4,200
10-15-2023 20:32:16,sachu.thomas@law.christuniversity.in,Sachu Saji Thomas,Male,BBA LLB,Non- Veg,South Indian,Sometimes,Cafe Chopsticks,Quantity,Less than 3,3,100
10-15-2023 20:33:08,s.bharath@bcomfan.christuniversity.in,Rolex,Male,BCOM,Non- Veg,South Indian,Yes,Cafe Chopsticks,Budget,Less than 3,4,200
10-15-2023 20:33:08,nava.yauvan@law.christuniversity.in,Nava Yauvan,Male,BBA LLB,Both,North Indian,Sometimes,Steaming Mugs,Quantity,Less than 3,3,100
10-15-2023 20:33:08,ruchita.r@law.christuniversity.in,Ruchita,Male,BBA,Non- Veg,South Indian,Yes,Cafe Chopsticks,All of the above,Less than 3,3,200
10-15-2023 20:33:09,anan.gibi@bcomfan.christuniversity.in,Anan K Gibi,Male,BCOM,Non- Veg,South Indian,Sometimes,Cafe Chopsticks,Quantity,Less than 3,3,200
10-15-2023 20:33:09,jiya.mehta@law.christuniversity.in,Jiya Mehta,Female,BBA LLB,Both,North Indian,Sometimes,Cafe Chopsticks,All of the above,Less than 3,5,200
10-15-2023 20:33:09,vaishnavi.c@law.christuniversity.in,Vaishnavi,Female,BBA,Both,South Indian,Yes,Steaming Mugs,Quality,Less than 3,4,100
10-15-2023 20:34:11,anisha.khamari@bba.christuniversity.in,Anisha Khamari,Female,BBA,Both,North Indian,No,Ganga Ram,Budget,Less than 3,3,100
10-15-2023 20:34:11,divyani.a@law.christuniversity.in,Divyani,Female,BBA LLB,Both,North Indian,Sometimes,Cafe Chopsticks,Quality,Less than 3,3,200
10-15-2023 20:34:11,yaswanth.kumar@bba.christuniversity.in,Yaswanth Kumar,Male,BBA,Both,South Indian,Sometimes,Ganga Ram,Quantity,Less than 3,3,100
10-15-2023 20:35:07,rituj.jaiswal@law.christuniversity.in,Rituj Jaiswal,Male,BBA LLB,Veg,North Indian,Yes,Steaming Mugs,All of the above,Less than 3,4,100
10-15-2023 20:35:07,anoushka.das@law.christuniversity.in,anoushka,Female,BBA LLB,Non- Veg,South Indian,No,Cafe by the Valley,All of the above,Less than 3,3,200
10-15-2023 20:35:07,fathimathul.shoukkathali@bba.christuniversity.in,Fathima,Male,BBA,Veg,South Indian,Sometimes,Cafe Chopsticks,All of the above,Less than 3,4,100
10-15-2023 20:37:08,atharva.vetal@msds.christuniversity.in,Atharva Vetal,Male,MSc DS,Non- Veg,North Indian,Sometimes,Cafe Chopsticks,All of the above,Less than 3,3,200
10-15-2023 20:37:08,cj.lakshmy@msea.christuniversity.in,C J Lakshmy,Female,MSc Economics & Analytics,Non- Veg,North Indian,No,Cafe Chopsticks,Quality,Less than 3,4,100
10-15-2023 20:37:08,assiha.abey@law.christuniversity.in,Asisha,Male,BBA,Non- Veg,South Indian,Yes,Cafe Chopsticks,Quality,Less than 3,4,50
10-15-2023 20:40:39,ankit.nair@law.christuniversity.in,Ankit S Nair,Male,BBA LLB,Both,North Indian,Sometimes,Cafe Chopsticks,Budget,Less than 3,3,100
10-15-2023 20:40:39,sandeep.kumar@msds.christuniversity.in,SANDEEP KUMAR,Male,MSc DS,Veg,North Indian,No,Cafe by the Valley,Quality,Less than 3,3,200
10-15-2023 20:40:39,siva.aleti@msds.christuniversity.in,Adhiraaa,Male,MSc DS,Both,South Indian,Sometimes,Cafe Chopsticks,All of the above,Less than 3,4,200
10-15-2023 20:44:03,abhigyan.pal@bba.christuniversity.in,Abhigyan Pal,Male,BBA,Non- Veg,North Indian,Sometimes,Cafe Chopsticks,Quantity,Less than 3,3,100
10-15-2023 20:44:03,sankar.murugan@msds.christuniversity.in,Sankar Murugan,Male,MSc DS,Both,South Indian,Sometimes,Steaming Mugs,All of the above,Less than 3,3,100
10-15-2023 20:44:03,amy.john@bcomfan.christuniversity.in,Amy Susan John,Male,MSc DS,Non- Veg,South Indian,Sometimes,Cafe by the Valley,Quality,Less than 3,4,50
10-15-2023 20:49:09,shruti.sharma@bds.christuniversity.in,Shruti Sharma,Female,BSC DS,Veg,North Indian,No,Ganga Ram,All of the above,Less than 3,4,200
10-15-2023 20:49:09,Aditisingh@law.christuniversity.in,Aditi singh,Male,MSc DS,Veg,North Indian,Sometimes,Cafe Chopsticks,Quality,Less than 3,3,100
10-15-2023 20:49:09,krupa.john@bds.christuniversity.in,Krupa,Male,MSc DS,Both,North Indian,No,Cafe by the Valley,All of the above,Less than 3,3,200
10-15-2023 20:49:30,Karan.lakhani@bds.christuniversity.in,Kara Lakhani,Other,BSC DS,Veg,North Indian,No,Cafe by the Valley,Quality,Less than 3,4,350
10-15-2023 20:49:30,pramyuktha.r@law.christuniversity.in,Pramyuktha R,Male,MSc DS,Non- Veg,South Indian,No,Steaming Mugs,Budget,Less than 3,3,200
10-15-2023 20:49:30,thasmiya.manikandan@law.christuniversity.in,Thasmiya Manikandan,Male,MSc DS,Non- Veg,North Indian,Yes,Cafe Chopsticks,Budget,Less than 3,4,100
10-15-2023 22:09:53,sherick.matthew@law.christuniversity.in,Sherick Matthew,Male,BBA LLB,Non- Veg,South Indian,Sometimes,Cafe Chopsticks,Quantity,Less than 3,4,350
10-15-2023 22:09:53,chirag.n@msds.christuniversity.in,Chirag N,Female,BBA LLB,Both,South Indian,Sometimes,Cafe Chopsticks,Budget,Less than 3,3,50
10-15-2023 22:09:53,angel.johnson@law.christuniversity.in,Angel Mary Johnson,Male,MSc DS,Non- Veg,North Indian,No,Cafe Chopsticks,Budget,Less than 3,2,100
10-15-2023 22:43:38,juhi.rathore@bsceah.christuniversity.in,Juhi Rathore,Female,BSC EA,Veg,North Indian,Sometimes,Cafe Chopsticks,Budget,Less than 3,3,100
10-15-2023 22:43:38,avula.nithin@bscdsh.christuniversity.in,avula nithin,Male,MSc DS,Both,North Indian,Sometimes,Cafe Chopsticks,All of the above,Less than 3,4,200
10-15-2023 22:43:38,r.lalrinmawii@msds.christuniversity.in,R lalrinmawii,Male,MSc DS,Both,South Indian,Yes,Cafe Chopsticks,Quality,Less than 3,4,100
10-15-2023 22:52:32,kanishk.kk@law.christuniversity.in,Kanishk kk,Male,BA LLB,Both,South Indian,Sometimes,Cafe Chopsticks,All of the above,Less than 3,4,350
10-15-2023 22:52:32,aman.singh@msds.christuniversity.in,Aman,Female,BBA LLB,Both,South Indian,Sometimes,Steaming Mugs,All of the above,Less than 3,4,100
10-15-2023 22:52:32,alysha.ghosh@bbabah.christuniversity.in,Alysha Ghosh,Male,BCOM,Veg,North Indian,No,Cafe by the Valley,Quantity,Less than 3,3,350
10-15-2023 23:44:01,sanskriti.singh@law.christuniversity.in,Sanskriti Singh,Female,BBA LLB,Both,North Indian,Yes,Cafe by the Valley,Quality,Less than 3,5,200
10-15-2023 23:44:01,sreedhar.s@law.christuniversity.in,Sreedhar shyam k,Female,MSc DS,Both,North Indian,Yes,Cafe Chopsticks,All of the above,Less than 3,5,200
10-15-2023 23:44:01,mary.analiya@mba.christuniversity.in,Analiya,Male,BSC DATA SCIENCE,Both,North Indian,Sometimes,Steaming Mugs,Quantity,Less than 3,1,200
10-16-2023 1:16:51,sri.nanda@bsceah.christuniversity.in,Sri Nanda R K,Male,BSC EA,Both,South Indian,Sometimes,Cafe Chopsticks,Budget,Less than 3,3,200
10-16-2023 1:16:51,kripan.jp@msds.christuniversity.in,Kripan j p,Female,MSc DS,Both,South Indian,No,Steaming Mugs,Quantity,Less than 3,2,100
10-16-2023 1:16:51,ps.anusha@msds.christuniversity.in,P S Anusha,Male,MSc DS,Both,South Indian,Sometimes,Cafe Chopsticks,Quality,Less than 3,4,200
10-16-2023 1:37:01,sahil.sahu@bba.christuniversity.in,Sahil sahu,Male,BBA,Veg,North Indian,Sometimes,Ganga Ram,Quality,Less than 3,4,100
10-16-2023 1:37:01,edwin.shabu@bcomfah.christuniversity.in,Edwin Shabu,Male,MSc DS,Veg,North Indian,Sometimes,Cafe Chopsticks,Quality,Less than 3,3,200
10-16-2023 1:37:01,nida.khan@bba.christuniversity.in,Nida,Female,MSc Economics & Analytics,Veg,North Indian,Sometimes,Concerto,Quality,Less than 3,4,200
10-16-2023 17:09:23,rochana.pandit@law.christuniversity.in,ROCHANA R PANDIT,Female,BBA LLB,Veg,South Indian,Sometimes,Cafe by the Valley,Quality,Less than 3,4,350
10-16-2023 17:09:23,sreelakshmi.g@law.christuniversity.in,Sreelakshmi G,Female,MSc DS,Both,North Indian,Yes,Cafe Chopsticks,Quality,Less than 3,4,200
10-16-2023 17:09:23,akshay.babu@bds.christuniversity.in,Akshay Babu,Male,MSc DS,Veg,South Indian,Yes,Concerto,Quantity,Less than 3,3,200
10-16-2023 17:10:11,chayan.sankhla@law.christuniversity.in,Chayan Sankhla,Male,BBA LLB,Veg,North Indian,Yes,Cafe by the Valley,Quality,Less than 3,4,100
10-16-2023 17:10:11,mitul.madhulal@msds.christuniversity.in,Mitul Madhulal,Male,MSc DS,Both,North Indian,Yes,Cafe by the Valley,Quality,Less than 3,4,200
10-16-2023 17:10:11,naveen.krishna@msds.christuniversity.in,Naveen krishna,Female,MSc DS,Veg,South Indian,Sometimes,Cafe by the Valley,Quality,Less than 3,4,100
10-16-2023 17:10:25,mitali.gour@law.christuniversity.in,Mitali Gour,Female,BA LLB,Both,North Indian,Sometimes,Cafe by the Valley,All of the above,More than 7,4,200
10-16-2023 17:10:25,shristy.s@msds.christuniversity.in,Shristy,Female,MSc DS,Both,South Indian,Yes,Cafe by the Valley,All of the above,More than 7,4,350
10-16-2023 17:10:25,homita.ganguly@ecoa.christuniversity.in,Homita Ganguly,Female,BBA,Both,North Indian,Sometimes,Cafe by the Valley,All of the above,Less than 3,4,100
10-16-2023 17:11:53,priyanshi.varshney@law.christuniversity.in,Priyanshi,Female,BBA LLB,Veg,North Indian,No,Steaming Mugs,Quality,Less than 3,4,350
10-16-2023 17:11:53,rosh.r@bscdsh.christuniversity.in,Rosh R,Male,BSC DATA SCIENCE,Non- Veg,North Indian,Sometimes,Concerto,All of the above,Less than 3,4,100
